ds,lag1_sma_forecast,campaign,y
2023-03-21,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-03-22,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-03-23,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-03-24,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-03-25,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-03-26,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-03-27,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-03-28,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-03-29,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-03-30,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-03-31,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-01,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-02,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-03,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-04,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-05,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-06,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-07,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-08,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-10,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-11,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-12,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-13,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-14,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-15,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-17,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-18,,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-19,3335.1428571428573,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-20,3314.4285714285716,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-21,3399.8163265306125,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-22,3465.3032069970845,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-23,3245.039150354019,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-24,3229.1133753793065,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,1358.0
2023-04-25,3260.835759334971,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,1584.0
2023-04-26,3252.9668850017547,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,
2023-04-27,3212.8930910733084,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,1709.0
2023-04-28,3117.9568832928308,BPKB Mobil # Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,2077.0
