source,product,metrics,campaign,ad_name,adset_name,date,actual,forecast,baseline
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-03-21,2103.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-03-21,4846.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-03-21,2136.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-03-21,149.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-03-21,1813.0,,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-03-21,304.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-03-22,2138.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-03-22,3541.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-03-22,1702.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-03-22,463.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-03-22,1811.0,,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-03-22,248.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-03-23,2513.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-03-23,4505.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-03-23,1756.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-03-23,247.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-03-23,2002.0,,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-03-23,261.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-03-24,3041.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-03-24,4646.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-03-24,2763.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-03-24,135.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-03-24,2246.0,,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-03-24,295.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-03-25,2945.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-03-25,1138.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-03-25,,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-03-25,226.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-03-25,,,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-03-25,267.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-03-26,2596.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-03-26,876.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-03-26,,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-03-26,256.0,,
