source,product,metrics,campaign,ad_name,adset_name,date,actual,forecast,baseline
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Lebih Untung Dijaminkan Daripada Dijual,Mix Photo Video,2023-03-23,550.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Pilihan Tepat Dapatkan Pinjaman Cepat,Mix Photo Video,2023-03-21,486.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1 | Jabodetabek,Lebih Untung Dijaminkan Daripada Dijual,Mix Photo Video,2023-03-25,15.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Lebih Untung Dijaminkan Daripada Dijual,Mix Photo Video,2023-04-03,358.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Lebih Untung Dijaminkan Daripada Dijual,Mix Photo Video,2023-03-22,578.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Lebih Untung Dijaminkan Daripada Dijual,Mix Photo Video,2023-03-25,469.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Pilihan Tepat Dapatkan Pinjaman Cepat,Mix Photo Video,2023-03-25,259.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Lebih Untung Dijaminkan Daripada Dijual,Mix Photo Video,2023-03-26,470.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1 | Jabodetabek,Pilihan Tepat Dapatkan Pinjaman Cepat,Mix Photo Video,2023-04-03,2.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1 | Jabodetabek,Pilihan Tepat Dapatkan Pinjaman Cepat,Mix Photo Video,2023-03-22,9.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Pilihan Tepat Dapatkan Pinjaman Cepat,Mix Photo Video,2023-03-23,330.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Lebih Untung Dijaminkan Daripada Dijual,Mix Photo Video,2023-03-27,370.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Pilihan Tepat Dapatkan Pinjaman Cepat,Mix Photo Video,2023-04-02,225.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1 | Jabodetabek,Pilihan Tepat Dapatkan Pinjaman Cepat,Mix Photo Video,2023-04-02,1.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Pilihan Tepat Dapatkan Pinjaman Cepat,Mix Photo Video,2023-04-03,234.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1 | Jabodetabek,Lebih Untung Dijaminkan Daripada Dijual,Mix Photo Video,2023-04-04,12.0,,
Meta,BPKB Mobil,Click,New Conversion | Jaminan BPKB Mobil | Web 1,Lebih Untung Dijaminkan Daripada Dijual,Mix Photo Video,2023-04-02,397.0,,
